st coed qnt ed
13318094825 EMU001 30 13318094904
13318094904 EMU002 30 13318094943
13318094943 EMU003 30 13318095022
13318095022 EMU004 15 13318095117
13318095117 ERU001 30 13318095154
13318153857 EMU001 30 13318153936
13318153936 EMU002 30 13318154015
13318154015 EMU003 30 13318154053
13318154053 EMU004 15 13318154148
13318154148 ERU001 30 13318154225
13318154421 NRC001 08 13318154504
13318154504 NRC002 08 13318154547
13318154547 NFC001 20 13318154618
13318154618 NFC002 20 13318154649
13318154649 NFC003 20 13318154720
13318154720 NFC004 20 13318154751
13318154751 NFC005 20 13318154822
13318154822 NFC006 20 13318154853
13318154853 CFC001 30 13318154934
13318164820 LFC005 30 13318164901
13318164901 LFC006 30 13318164942
13318164942 LFC008 30 13318165023
13318165023 LFC009 30 13318165105
13318165105 CFC001 30 13318165146
13318165146 BFC001 10 13318165228
13318165228 SHC001 10 13318165311
13318231958 CAU011 08 13318232025
13318232031 CAU011 08 13318232058
13318232110 CAU012 08 13318232137
13318232143 CAU012 08 13318232210
13318232222 CAU001 08 13318232312
13318232319 CAU001 08 13318232409
13319003414 AFU001 20 13319003444
13319003450 BFU001 20 13319003521
13319003521 YFU001 06 13319003632
13319003638 LFC005 30 13319003720
13319003720 LFC006 30 13319003801
13319003801 LFU007 30 13319003840
13319003847 LFU003 30 13319003925
13319003925 LFU004 30 13319004003
13319004003 WFU001 30 13319004045
13319004045 WFU002 30 13319004126
13319074415 YIU002 06 13319074554
13319074554 FMU001 10 13319074623
13319074623 FMU002 05 13319074653
13319074653 FMU003 05 13319074722
13319074722 FAU001 10 13319074800
13319074800 HAU001 20 13319074831
13319074831 AMU001 05 13319074911
13319074911 ARU001 05 13319074942
13319074942 LFU001 20 13319075010
13319075010 LFU002 20 13319075038
13319075038 UFU001 20 13319075106
13319075106 UFU002 20 13319075135
13319075135 LFU003 20 13319075203
13319075203 LFU004 20 13319075231
13319075238 LFU008 10 13319075317
13319075317 CFC001 20 13319075348
13319075354 AFU001 20 13319075424
13319075424 BFU001 20 13319075455
13320093402 LFC005 30 13320093443
13320093443 LFC006 30 13320093524
13320093524 LFC008 30 13320093605
13320093605 LFC009 30 13320093647
13320093647 CFC001 30 13320093728
13320093728 BFC001 10 13320093810
13320093810 SHC001 10 13320093853
13320162725 NRC001 08 13320162808
13320162808 NRC002 08 13320162850
13320162850 NFC001 20 13320162921
13320162921 NFC002 20 13320162952
13320162952 NFC003 20 13320163023
13320163023 NFC004 20 13320163053
13320163053 NFC005 20 13320163124
13320163124 NFC006 20 13320163155
13320163155 CFC001 30 13320163236
13320211046 CAU002 06 13320211136
13320211147 CAU002 06 13320211237
13320211248 CAU002 04 13320211328
13320213019 CAU011 08 13320213046
13320213053 CAU011 08 13320213120
13320213131 CAU012 08 13320213158
13320213205 CAU012 08 13320213232
13320213243 CAU001 10 13320213342
13320214911 LFC005 30 13320214952
13320214952 LFC006 30 13320215032
13320215032 LFC008 30 13320215114
13320215114 LFC009 30 13320215155
13320215155 CFC001 30 13320215236
13320215236 BFC001 10 13320215319
13320215319 SHC001 10 13320215401
13320230106 CAU002 06 13320230155
13320230207 CAU002 06 13320230256
13320230308 CAU002 04 13320230348
13321105251 WMP001 60 13321105404
13321105404 WFU001 30 13321105445
13321105445 WFU002 30 13321105524
13321105524 WMP001 30 13321105602
13321105602 WFU003 30 13321105642
13321105642 WFU004 30 13321105723
13321105723 WMP001 30 13321105801
13321105801 LFU003 30 13321105845
13321105845 LFU004 30 13321105930
13321105930 WMP001 60 13321110037
13321110936 NRC001 08 13321111019
13321111019 NRC002 08 13321111101
13321111101 NFC001 20 13321111133
13321111133 NFC002 20 13321111202
13321111202 NFC003 20 13321111231
13321111231 NFC004 20 13321111301
13321111301 NFC005 20 13321111330
13321111330 NFC006 20 13321111400
13321111400 CFC001 30 13321111441
13321140043 WMP001 60 13321140156
13321140156 WFU001 30 13321140237
13321140237 WFU002 30 13321140316
13321140316 WMP001 30 13321140355
13321140355 WFU003 30 13321140436
13321140436 WFU004 30 13321140517
13321140517 WMP001 30 13321140556
13321140556 LFU003 30 13321140640
13321140640 LFU004 30 13321140724
13321140724 WMP001 60 13321140833
13321163737 CAU011 08 13321163803
13321163810 CAU011 08 13321163836
13321163847 CAU012 08 13321163914
13321163920 CAU012 08 13321163946
13321163958 CAU001 10 13321164056
13321164130 CAU002 06 13321164219
13321164231 CAU002 06 13321164309
13321164321 CAU002 04 13321164350
13321165146 LCU004 20 13321165343
13321165350 LCU004 20 13321165547
13321165554 LCU004 20 13321165751
13321193407 CAU002 06 13321193457
13321193508 CAU002 06 13321193547
13321193558 CAU002 04 13321193627
13323081500 YIU002 06 13323081640
13323081640 FMU001 10 13323081709
13323081709 FMU002 05 13323081739
13323081739 FMU003 05 13323081808
13323081808 FAU001 10 13323081847
13323081847 HAU001 20 13323081917
13323081917 AMU001 05 13323081957
13323081957 ARU001 05 13323082028
13323082028 LFU001 20 13323082057
13323082057 LFU002 20 13323082125
13323082125 UFU001 20 13323082154
13323082154 UFU002 20 13323082223
13323082223 LFU003 20 13323082258
13323082258 LFU004 20 13323082333
13323082339 LFU008 10 13323082419
13323082419 CFC001 20 13323082451
13323082457 AFU001 20 13323082527
13323082527 BFU001 20 13323082557
13325163930 WMP001 60 13325164044
13325164044 WFU001 30 13325164125
13325164125 WFU002 30 13325164206
13325164206 WMP001 30 13325164246
13325164246 WFU003 30 13325164327
13325164327 WFU004 30 13325164408
13325164408 WMP001 30 13325164447
13325164447 LFU003 30 13325164532
13325164532 LFU004 30 13325164616
13325164616 WMP001 60 13325164726
13325164806 EMU001 30 13325164846
13325164846 EMU002 30 13325164925
13325164925 EMU003 30 13325165005
13325165005 EMU004 15 13325165100
13325165100 ERU001 30 13325165138
13325165447 LCU004 15 13325165604
13325165610 LCU004 15 13325165719
13325165725 LCU004 15 13325165834
13325170059 CAU011 08 13325170126
13325170133 CAU011 08 13325170158
13325170210 CAU012 08 13325170237
13325170243 CAU012 08 13325170309
13325170321 CAU001 10 13325170419
13325170446 CAU002 06 13325170535
13325170547 CAU002 06 13325170625
13325170637 CAU002 04 13325170706
13326144500 NRC001 08 13326144544
13326144544 NRC002 08 13326144627
13326144627 NFC001 20 13326144659
13326144659 NFC002 20 13326144730
13326144730 NFC003 20 13326144802
13326144802 NFC004 20 13326144834
13326144834 NFC005 20 13326144905
13326144905 NFC006 20 13326144937
13326144937 CFC001 30 13326145019
13326150717 LFC005 30 13326150758
13326150758 LFC006 30 13326150840
13326150840 LFC008 30 13326150922
13326150922 LFC009 30 13326151004
13326151004 CFC001 30 13326151046
13326151046 BFC001 10 13326151129
13326151129 SHC001 10 13326151212
13326175026 CAU011 08 13326175053
13326175100 CAU011 08 13326175125
13326175137 CAU012 08 13326175204
13326175211 CAU012 08 13326175236
13326175248 CAU001 10 13326175346
13326175410 CAU002 06 13326175459
13326175511 CAU002 06 13326175550
13326175601 CAU002 04 13326175630
13326175729 LCU004 15 13326175846
13326175853 LCU004 15 13326180002
13326180008 LCU004 15 13326180117
13327210219 CAU011 08 13327210246
13327210253 CAU011 08 13327210318
13327210330 CAU012 08 13327210357
13327210403 CAU012 08 13327210429
13327210441 CAU001 10 13327210539
13327210632 CAU002 06 13327210722
13327210733 CAU002 06 13327210812
13327210823 CAU002 04 13327210852
13329210856 CAU011 08 13329210923
13329210930 CAU011 08 13329210955
13329211007 CAU012 08 13329211034
13329211040 CAU012 08 13329211106
13329211118 CAU001 10 13329211216
13329211318 CAU002 06 13329211407
13329211419 CAU002 06 13329211457
13329211509 CAU002 04 13329211538
13331215558 LCU004 15 13331215715
13331215721 LCU004 15 13331215830
13331215836 LCU004 15 13331215945
13331220029 CAU011 08 13331220056
13331220103 CAU011 08 13331220128
13331220140 CAU012 08 13331220207
13331220213 CAU012 08 13331220239
13331220251 CAU001 10 13331220349
13331220423 CAU002 06 13331220513
13331220524 CAU002 06 13331220603
13331220614 CAU002 04 13331220643
13332164241 LCU004 15 13332164358
13332164405 LCU004 15 13332164513
13332164520 LCU004 15 13332164628
13332171432 CAU011 08 13332171459
13332171506 CAU011 08 13332171531
13332171543 CAU012 08 13332171610
13332171617 CAU012 08 13332171642
13332171654 CAU001 10 13332171752
13332234158 AFU001 20 13332234227
13332234234 BFU001 20 13332234304
13332234304 YFU001 06 13332234415
13332234421 LFC005 30 13332234503
13332234503 LFC006 30 13332234545
13332234545 LFU007 30 13332234624
13332234630 LFU003 30 13332234715
13332234715 LFU004 30 13332234800
13332234800 WFU001 30 13332234841
13332234841 WFU002 30 13332234922
13346144647 CAU011 08 13346144714
13346144720 CAU011 08 13346144746
13346144757 CAU012 08 13346144824
13346144831 CAU012 08 13346144857
13346144908 CAU001 10 13346145007
13346150252 LCU004 15 13346150409
13346150416 LCU004 15 13346150524
13346150531 LCU004 15 13346150640
13351192231 CAU011 08 13351192258
13351192305 CAU011 08 13351192330
13351192342 CAU012 08 13351192409
13351192416 CAU012 08 13351192441
13351192453 CAU001 10 13351192551
13351192633 CAU002 06 13351192722
13351192734 CAU002 06 13351192812
13351192824 CAU002 04 13351192853
13351210838 LCU004 15 13351210955
13351211001 LCU004 15 13351211110
13351211117 LCU004 15 13351211225
13356145216 LCU007 30 13356145404
13356145420 LCU007 30 13356145559
13356145615 LCU007 30 13356145753
13359152002 LCU007 30 13359152150
13359152207 LCU007 30 13359152346
13359152402 LCU007 30 13359152541
13366093906 LCU007 30 13366094124
13366094140 LCU007 30 13366094348
13366094405 LCU007 30 13366094613
13366163430 CAU011 08 13366163457
13366163504 CAU011 08 13366163530
13366163541 CAU012 08 13366163608
13366163615 CAU012 08 13366163641
13366163652 CAU001 10 13366163750
13366164123 LCU007 30 13366164341
13366164357 LCU007 30 13366164606
13366164622 LCU007 30 13366164830
13366164830 LFU003 30 13366164915
13366164915 LFU004 30 13366164959
13366165314 LFC005 30 13366165356
13366165356 LFC006 30 13366165437
13366165437 LFC008 30 13366165520
13366165520 LFC009 30 13366165602
13366165602 CFC001 30 13366165644
13366165644 BFC001 10 13366165727
13366165727 SHC001 10 13366165810
13367200428 CAU011 08 13367200455
13367200502 CAU011 08 13367200527
13367200539 CAU012 08 13367200606
13367200613 CAU012 08 13367200638
13367200650 CAU001 10 13367200748
13367200836 LCU007 30 13367201053
13367201110 LCU007 30 13367201318
13367201335 LCU007 30 13367201543
13367201543 LFU003 30 13367201628
13367201628 LFU004 30 13367201712
13367201810 LCU004 15 13367201927
13367201933 LCU004 15 13367202042
13367202049 LCU004 15 13367202157
13367202204 LFU003 30 13367202248
13367202248 LFU004 30 13367202333
13368163604 LCU007 30 13368163822
13368163838 LCU007 30 13368164046
13368164103 LCU007 30 13368164311
13368164311 LFU003 30 13368164356
13368164356 LFU004 30 13368164440
13380172921 LCU007 30 13380173139
13380173155 LCU007 30 13380173403
13380173420 LCU007 30 13380173628
13380173628 LFU003 30 13380173713
13380173713 LFU004 30 13380173758
13396143619 WMP001 60 13396143733
13396143733 WFU001 30 13396143815
13396143815 WFU002 30 13396143856
13396143856 WMP001 30 13396143935
13396143935 WFU003 30 13396144016
13396144016 WFU004 30 13396144058
13396144058 WMP001 30 13396144137
13396144137 LFU003 30 13396144221
13396144221 LFU004 30 13396144306
13396144306 WMP001 60 13396144415
13439204128 LCU004 15 13439204245
13439204252 LCU004 15 13439204400
13439204407 LCU004 15 13439204516
13439204522 LFU003 30 13439204607
13439204607 LFU004 30 13439204651
13439204807 WMP001 60 13439204922
13439204922 WFU001 30 13439205003
13439205003 WFU002 30 13439205044
13439205044 WMP001 30 13439205123
13439205123 WFU003 30 13439205205
13439205205 WFU004 30 13439205246
13439205246 WMP001 30 13439205325
13439205325 LFU003 30 13439205410
13439205410 LFU004 30 13439205454
13439205454 WMP001 60 13439205603
13443222910 LCU007 30 13443223128
13443223145 LCU007 30 13443223353
13443223409 LCU007 30 13443223618
13443223618 LFU003 30 13443223702
13443223702 LFU004 30 13443223747
13444143014 EMU001 30 13444143053
13444143053 EMU002 30 13444143133
13444143133 EMU003 30 13444143212
13444143212 EMU004 15 13444143308
13444143308 ERU001 30 13444143345
13444160627 LCU007 20 13444160804
13444160821 LCU007 20 13444160949
13444161005 LCU007 20 13444161134
13444161134 LFU003 30 13444161218
13444161218 LFU004 30 13444161303
13447113029 EMU001 30 13447113108
13447113108 EMU002 30 13447113148
13447113148 EMU003 30 13447113228
13447113228 EMU004 15 13447113323
13447113323 ERU001 30 13447113401
13449172038 LCU004 15 13449172155
13449172202 LCU004 15 13449172310
13449172317 LCU004 15 13449172426
13449172432 LFU003 30 13449172517
13449172517 LFU004 30 13449172601
13450094707 WMP001 60 13450094821
13450094821 WFU001 30 13450094902
13450094902 WFU002 30 13450094944
